Parameter,Active,FileName,NickName,Start,Stop,Center,Span,RBW,VBW,RefLevel,Attenuation,MaxHold,HighSens,PreAmp,Trace1Mode,Trace2Mode,Trace3Mode,Trace4Mode,Marker1Max,Marker2Max,Marker3Max,Marker4Max,Marker5Max,Marker6Max,nickname,
PRESET_100,True,3GHZCAMS.STA,3GHZCAMS.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_101,True,14.STA,14.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_102,True,24.STA,24.STA,,,,,,,,,,,,,,,,,,,,,,24.STAfghjfgh,
PRESET_103,True,34.STA,34.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_104,True,44.STA,44.STA,,,,,,,,,,,,,,,,,,,,,,44.STAfghjfghj,
PRESET_105,True,54.STA,54.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_106,True,07.STA,07.STA,,,,,,,,,,,,,,,,,,,,,,,gbhnjmfghj
PRESET_107,True,02.STA,02.STA,,,,,,,,,,,,,,,,,,,,,,,02.fghjfghjSTA
PRESET_108,True,FM.STA,FM.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_109,True,902.STA,902.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_110,True,DECT_NA.STA,DECT_NA.STA,,,,,,,,,,,,,,,,,,,,,,,fghjfghjfghj
PRESET_111,True,DECT_EU.STA,DECT_EU.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_112,True,AFTRAC.STA,AFTRAC.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_113,True,2GHZCAMS.STA,2GHZCAMS.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_114,True,946-A.STA,946-A.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_115,True,44MON.STA,44MON.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_116,True,14MON.STA,14MON.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_117,True,24MON.STA,24MON.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_118,True,34MON.STA,34MON.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_119,True,22GHZCAMS.STA,22GHZCAMS.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_120,True,1MHZ.STA,1MHZ.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_121,True,470TO608.STA,470TO608.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_122,True,596GHZ.STA,596GHZ.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_123,True,470608MON.STA,470608MON.STA,,,,,,,,,,,,,,,,,,,,,,,
PRESET_124,True,450-470LMR.STA,450-470LMR.STA,,,,,,,,,,,,,,,,,,,,,,,
